Seleccionado,seller-sku,item-name,ASIN,notas
true,A01_EU01_118200,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 160x200 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZPHB9N,
true,A01_EU01_118201,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 180x200 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZ9BDK1,
true,A01_EU01_118202,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Marie 200x200 cm - Altura 29cm, Firmeza Media, Alto Gramaje, 7 Zonas de Soporte Diferenciadas, Fabricación Nacional",B0GNZJ5FMH,
true,A01_EU01_118309,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 80x190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ8YVVJ,
true,A01_EU01_118310,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 90x190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ968C4,
true,A01_EU01_118311,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 105X190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ16T5B,
true,A01_EU01_118313,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 120X190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ942GP,
true,A01_EU01_118314,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 135x190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ97HZD,
true,A01_EU01_118315,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 140X190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ3DSQV,
true,A01_EU01_118316,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 150x190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZSJQ5Y,
true,A01_EU01_118317,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 160x190 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYZ2NNQ,
true,A01_EU01_118320,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 90x200 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZLZ3TM,
true,A01_EU01_118327,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 150x200 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYZVN21,
true,A01_EU01_118328,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 160x200 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYZNXQV,
true,A01_EU01_118329,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 180x200 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZJS5SN,
true,A01_EU01_118330,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Jane 200x200 - Altura 30cm, Firmeza Suave, Espuma Ultrasoft de 40kg/m³, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZFYS54,
true,A01_EU01_118372,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 80x190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ7852B,
true,A01_EU01_118373,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 90x190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYVL3NQ,
true,A01_EU01_118374,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 105X190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZL8GYC,
true,A01_EU01_118376,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 120X190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYVR5MZ,
true,A01_EU01_118377,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 135x190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZDS1GP,
true,A01_EU01_118378,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 140X190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZPWRSV,
true,A01_EU01_118379,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 150x190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ6F8CP,
true,A01_EU01_118380,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 160x190 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZLB2LR,
true,A01_EU01_118383,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 90x200 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ632BV,
true,A01_EU01_118390,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 150x200 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYZWWR9,
true,A01_EU01_118391,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 160x200 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZF2B3G,
true,A01_EU01_118392,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 180x200 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYZ4M33,
true,A01_EU01_118393,"Cecotec Colchón de Muelles Ensacados - Viscoelástico - Multicapa - Flow Hêritage Anne 200x200 - Altura 30cm, Firmeza Alta, Viscoelástica Ecológica 5cm, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ42DDJ,
true,A01_EU01_118500,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 80x190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZD7LHP,
true,A01_EU01_118501,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 90x190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ924QX,
true,A01_EU01_118502,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 105X190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYVCG23,
true,A01_EU01_118504,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 120X190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZ6NJY8,
true,A01_EU01_118505,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 135x190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZLNSJ1,
true,A01_EU01_118506,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 140X190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYRK3WN,
true,A01_EU01_118507,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 150x190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZB5NGQ,
true,A01_EU01_118508,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 160x190 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNZPW2SB,
true,A01_EU01_118511,"Cecotec Colchón Viscoelástico - Multicapa - Flow Hêritage Cloé 90x200 - Altura 28cm, Firmeza Medio-Alta, Viscoelástica Ecológica 5cm de 60Kg de Densidad, 7 Zonas Diferenciadas, Fabricación Nacional",B0GNYRTYQ8,
